2024-08-13 06:03:02 - Opened short position at 58628.6, TP: 58536.17426666667, SL: 59229.65745414333
2024-08-13 06:03:02 - Opened short position at 58628.6, TP: 58536.17426666667, SL: 59229.65745414333
2024-08-13 06:03:03 - Opened short position at 58628.6, TP: 58536.17426666667, SL: 59229.65745414333
2024-08-13 06:03:03 - Opened short position at 58631.8, TP: 58539.37213333334, SL: 59232.85745414333
2024-08-13 06:03:04 - Opened short position at 58631.9, TP: 58539.47206666667, SL: 59232.95745414333
2024-08-13 06:03:05 - Opened short position at 58636.1, TP: 58543.66926666667, SL: 59237.15745414333
2024-08-13 06:03:05 - Opened short position at 58636.1, TP: 58543.66926666667, SL: 59237.15745414333
2024-08-13 06:03:06 - Opened short position at 58636.1, TP: 58543.66926666667, SL: 59237.15745414333
2024-08-13 06:03:07 - Opened short position at 58636.0, TP: 58543.56933333334, SL: 59237.05745414333
2024-08-13 06:03:07 - Opened short position at 58636.1, TP: 58543.66926666667, SL: 59237.15745414333
2024-08-13 06:03:08 - Opened short position at 58626.0, TP: 58533.576, SL: 59227.05745414333
2024-08-13 06:03:08 - Opened short position at 58634.7, TP: 58542.2702, SL: 59235.75745414333
2024-08-13 06:03:09 - Opened short position at 58634.8, TP: 58542.37013333334, SL: 59235.85745414333
2024-08-13 06:03:10 - Opened short position at 58641.8, TP: 58549.36546666667, SL: 59242.85745414333
2024-08-13 06:03:10 - Opened short position at 58643.6, TP: 58551.16426666667, SL: 59244.65745414333
2024-08-13 06:03:11 - Opened short position at 58643.6, TP: 58551.16426666667, SL: 59244.65745414333
2024-08-13 06:03:12 - Opened short position at 58643.6, TP: 58551.16426666667, SL: 59244.65745414333
2024-08-13 06:03:12 - Opened short position at 58643.6, TP: 58551.16426666667, SL: 59244.65745414333
2024-08-13 06:03:13 - Opened short position at 58643.6, TP: 58551.16426666667, SL: 59244.65745414333
2024-08-13 06:03:13 - Opened short position at 58648.2, TP: 58555.7612, SL: 59249.25745414333
2024-08-13 06:03:14 - Opened short position at 58649.9, TP: 58557.460066666674, SL: 59250.95745414333
2024-08-13 06:03:15 - Opened short position at 58649.9, TP: 58557.460066666674, SL: 59250.95745414333
2024-08-13 06:03:15 - Opened short position at 58657.2, TP: 58564.7552, SL: 59258.25745414333
2024-08-13 06:04:14 - Opened short position at 58613.6, TP: 58521.18426666667, SL: 59214.65745414333
2024-08-13 06:04:14 - Opened short position at 58613.7, TP: 58521.2842, SL: 59214.75745414333
2024-08-13 06:04:15 - Opened short position at 58620.1, TP: 58527.67993333333, SL: 59221.15745414333
2024-08-13 06:04:15 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:16 - Opened short position at 58620.7, TP: 58528.279533333334, SL: 59221.75745414333
2024-08-13 06:04:17 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:17 - Opened short position at 58620.7, TP: 58528.279533333334, SL: 59221.75745414333
2024-08-13 06:04:18 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:19 - Opened short position at 58620.7, TP: 58528.279533333334, SL: 59221.75745414333
2024-08-13 06:04:19 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:20 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:21 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:21 - Opened short position at 58620.7, TP: 58528.279533333334, SL: 59221.75745414333
2024-08-13 06:04:22 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:23 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
2024-08-13 06:04:23 - Opened short position at 58620.8, TP: 58528.37946666667, SL: 59221.85745414333
